statefip,stateName,stateabbrev,area,MSAname,countyfip,township,county_town_name,county_town_BLSname
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,011,249,Mount Vernon town,Mount Vernon town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,595,Moxie Gore unorganized,Moxie Gore unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,009,228,Myra unorganized,Myra unorganized
23,Maine,ME,76750,"Portland-South Portland, ME",005,122,Naples town,Naples town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,058,Nashville plantation,Nashville plantation
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,493,Nesourdnahunk unorganized,Nesourdnahunk unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,059,New Canada town,New Canada town
23,Maine,ME,76750,"Portland-South Portland, ME",005,123,New Gloucester town,New Gloucester town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,060,New Limerick town,New Limerick town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,545,New Portland town,New Portland town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,152,New Sharon town,New Sharon town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,061,New Sweden town,New Sweden town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,153,New Vineyard town,New Vineyard town
23,Maine,ME,70750,"Bangor, ME",019,420,Newburgh town,Newburgh town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,015,300,Newcastle town,Newcastle town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,031,732,Newfield town,Newfield town
23,Maine,ME,70750,"Bangor, ME",019,421,Newport town,Newport town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,334,Newry town,Newry town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,015,301,Nobleboro town,Nobleboro town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,546,Norridgewock town,Norridgewock town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,031,733,North Berwick town,North Berwick town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,013,277,North Haven town,North Haven town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,453,North Penobscot unorganized,North Penobscot unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,713,North Washington unorganized,North Washington unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,090,North Yarmouth Academy grant unorganized,North Yarmouth Academy grant unorganized
23,Maine,ME,76750,"Portland-South Portland, ME",005,124,North Yarmouth town,North Yarmouth town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,494,Northeast Carry unorganized,Northeast Carry unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,108,Northern unorganized territory,Northern unorganized territory
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,681,Northfield town,Northfield town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,634,Northport town,Northport town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,485,Northwest Piscataquis unorganized territory,Northwest Piscataquis unorganized territory
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,564,Northwest Somerset,Northwest Somerset
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,335,Norway town,Norway town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,062,Oakfield town,Oakfield town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,011,250,Oakland town,Oakland town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,031,743,Ogunquit town,Ogunquit town
23,Maine,ME,76750,"Portland-South Portland, ME",031,734,Old Orchard Beach town,Old Orchard Beach town
23,Maine,ME,70750,"Bangor, ME",019,422,Old Town city,Old Town city
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,063,Orient town,Orient town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,009,211,Orland town,Orland town
23,Maine,ME,70750,"Bangor, ME",021,495,Orneville unorganized,Orneville unorganized
23,Maine,ME,70750,"Bangor, ME",019,423,Orono town,Orono town
23,Maine,ME,70750,"Bangor, ME",019,424,Orrington town,Orrington town
23,Maine,ME,70750,"Bangor, ME",009,212,Osborn plantation,Osborn plantation
23,Maine,ME,70750,"Bangor, ME",009,213,Otis town,Otis town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,314,Otisfield town,Otisfield town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,013,278,Owls Head town,Owls Head town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,064,Oxbow plantation,Oxbow plantation
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,362,Oxbow unorganized,Oxbow unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,336,Oxford town,Oxford town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,504,Packards unorganized,Packards unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,635,Palermo town,Palermo town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,547,Palmyra town,Palmyra town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,337,Paris town,Paris town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,363,Parkertown unorganized,Parkertown unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,470,Parkman town,Parkman town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,596,Parlin Pond unorganized,Parlin Pond unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,364,Parmachenee unorganized,Parmachenee unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,031,735,Parsonsfield town,Parsonsfield town
23,Maine,ME,70750,"Bangor, ME",019,425,Passadumkeag town,Passadumkeag town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,426,Patten town,Patten town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,684,Pembroke town,Pembroke town
23,Maine,ME,70750,"Bangor, ME",019,437,Penobscot Indian Island Reservation,Penobscot Indian Island Reservation
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,009,214,Penobscot town,Penobscot town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,065,Perham town,Perham town
