"statefip","stateabbrev","area","MSAname","countyfip","county_town_name"
"08","CO","0800001","Eastern and Southern Colorado nonmetropolitan area","125","Yuma County"
"09","CT","25540","Hartford-West Hartford-East Hartford, CT","110","Capitol Planning Region"
"09","CT","14860","Bridgeport-Stamford-Danbury, CT","120","Greater Bridgeport Planning Region"
"09","CT","25540","Hartford-West Hartford-East Hartford, CT","130","Lower Connecticut River Valley Planning Region"
"09","CT","47930","Waterbury-Shelton, CT","140","Naugatuck Valley Planning Region"
"09","CT","0900001","Connecticut nonmetropolitan area","150","Northeastern Connecticut Planning Region"
"09","CT","0900001","Connecticut nonmetropolitan area","160","Northwest Hills Planning Region"
"09","CT","35300","New Haven, CT","170","South Central Connecticut Planning Region"
"09","CT","35980","Norwich-New London-Willimantic, CT","180","Southeastern Connecticut Planning Region"
"09","CT","14860","Bridgeport-Stamford-Danbury, CT","190","Western Connecticut Planning Region"
"10","DE","20100","Dover, DE","001","Kent County"
"10","DE","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","003","New Castle County"
"10","DE","1000005","Sussex Delaware nonmetropolitan area","005","Sussex County"
"11","DC","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","001","District of Columbia"
"12","FL","23540","Gainesville, FL","001","Alachua County"
"12","FL","27260","Jacksonville, FL","003","Baker County"
"12","FL","37460","Panama City-Panama City Beach, FL","005","Bay County"
"12","FL","1200006","North Florida nonmetropolitan area","007","Bradford County"
"12","FL","37340","Palm Bay-Melbourne-Titusville, FL","009","Brevard County"
"12","FL","33100","Miami-Fort Lauderdale-West Palm Beach, FL","011","Broward County"
"12","FL","1200006","North Florida nonmetropolitan area","013","Calhoun County"
"12","FL","39460","Punta Gorda, FL","015","Charlotte County"
"12","FL","26140","Homosassa Springs, FL","017","Citrus County"
"12","FL","27260","Jacksonville, FL","019","Clay County"
"12","FL","34940","Naples-Marco Island, FL","021","Collier County"
"12","FL","1200006","North Florida nonmetropolitan area","023","Columbia County"
"12","FL","1200003","South Florida nonmetropolitan area","027","DeSoto County"
"12","FL","1200006","North Florida nonmetropolitan area","029","Dixie County"
"12","FL","27260","Jacksonville, FL","031","Duval County"
"12","FL","37860","Pensacola-Ferry Pass-Brent, FL","033","Escambia County"
"12","FL","19660","Deltona-Daytona Beach-Ormond Beach, FL","035","Flagler County"
"12","FL","1200006","North Florida nonmetropolitan area","037","Franklin County"
"12","FL","45220","Tallahassee, FL","039","Gadsden County"
"12","FL","23540","Gainesville, FL","041","Gilchrist County"
"12","FL","1200003","South Florida nonmetropolitan area","043","Glades County"
"12","FL","1200006","North Florida nonmetropolitan area","045","Gulf County"
"12","FL","1200006","North Florida nonmetropolitan area","047","Hamilton County"
"12","FL","1200003","South Florida nonmetropolitan area","049","Hardee County"
"12","FL","1200003","South Florida nonmetropolitan area","051","Hendry County"
"12","FL","45300","Tampa-St. Petersburg-Clearwater, FL","053","Hernando County"
"12","FL","42700","Sebring, FL","055","Highlands County"
"12","FL","45300","Tampa-St. Petersburg-Clearwater, FL","057","Hillsborough County"
"12","FL","1200006","North Florida nonmetropolitan area","059","Holmes County"
"12","FL","42680","Sebastian-Vero Beach-West Vero Corridor, FL","061","Indian River County"
"12","FL","1200006","North Florida nonmetropolitan area","063","Jackson County"
"12","FL","45220","Tallahassee, FL","065","Jefferson County"
"12","FL","1200006","North Florida nonmetropolitan area","067","Lafayette County"
"12","FL","36740","Orlando-Kissimmee-Sanford, FL","069","Lake County"
"12","FL","15980","Cape Coral-Fort Myers, FL","071","Lee County"
"12","FL","45220","Tallahassee, FL","073","Leon County"
"12","FL","23540","Gainesville, FL","075","Levy County"
"12","FL","1200006","North Florida nonmetropolitan area","077","Liberty County"
"12","FL","1200006","North Florida nonmetropolitan area","079","Madison County"
"12","FL","35840","North Port-Bradenton-Sarasota, FL","081","Manatee County"
"12","FL","36100","Ocala, FL","083","Marion County"
"12","FL","38940","Port St. Lucie, FL","085","Martin County"
"12","FL","33100","Miami-Fort Lauderdale-West Palm Beach, FL","086","Miami-Dade County"
"12","FL","1200003","South Florida nonmetropolitan area","087","Monroe County"
"12","FL","27260","Jacksonville, FL","089","Nassau County"
"12","FL","18880","Crestview-Fort Walton Beach-Destin, FL","091","Okaloosa County"
"12","FL","1200003","South Florida nonmetropolitan area","093","Okeechobee County"
"12","FL","36740","Orlando-Kissimmee-Sanford, FL","095","Orange County"
"12","FL","36740","Orlando-Kissimmee-Sanford, FL","097","Osceola County"
"12","FL","33100","Miami-Fort Lauderdale-West Palm Beach, FL","099","Palm Beach County"
"12","FL","45300","Tampa-St. Petersburg-Clearwater, FL","101","Pasco County"
"12","FL","45300","Tampa-St. Petersburg-Clearwater, FL","103","Pinellas County"
"12","FL","29460","Lakeland-Winter Haven, FL","105","Polk County"
"12","FL","1200006","North Florida nonmetropolitan area","107","Putnam County"
"12","FL","27260","Jacksonville, FL","109","St. Johns County"
"12","FL","38940","Port St. Lucie, FL","111","St. Lucie County"
"12","FL","37860","Pensacola-Ferry Pass-Brent, FL","113","Santa Rosa County"
"12","FL","35840","North Port-Bradenton-Sarasota, FL","115","Sarasota County"
"12","FL","36740","Orlando-Kissimmee-Sanford, FL","117","Seminole County"
"12","FL","48680","Wildwood-The Villages, FL","119","Sumter County"
"12","FL","1200006","North Florida nonmetropolitan area","121","Suwannee County"
"12","FL","1200006","North Florida nonmetropolitan area","123","Taylor County"
"12","FL","1200006","North Florida nonmetropolitan area","125","Union County"
"12","FL","19660","Deltona-Daytona Beach-Ormond Beach, FL","127","Volusia County"
"12","FL","45220","Tallahassee, FL","129","Wakulla County"
"12","FL","18880","Crestview-Fort Walton Beach-Destin, FL","131","Walton County"
