"state","year","state_min_wage","state_min_wage_lastyr","state_min_wage_hike","state_min_wage_period","state_min_wage_last","state_min_wage_hike_last"
"CO",2077,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2078,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2079,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2080,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2081,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2082,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2083,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2084,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2085,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2086,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2087,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2088,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2089,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2090,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2091,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2092,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2093,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2094,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2095,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2096,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2097,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2098,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2099,14.81,14.81,0,1,14.42,0.390000000000001
"CO",2100,14.81,14.81,0,1,14.42,0.390000000000001
"CT",2024,15.69,NA,NA,0,NA,NA
"CT",2025,16.35,15.69,0.660000000000002,1,15.69,0.660000000000002
"CT",2026,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2027,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2028,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2029,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2030,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2031,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2032,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2033,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2034,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2035,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2036,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2037,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2038,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2039,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2040,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2041,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2042,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2043,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2044,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2045,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2046,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2047,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2048,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2049,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2050,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2051,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2052,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2053,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2054,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2055,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2056,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2057,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2058,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2059,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2060,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2061,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2062,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2063,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2064,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2065,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2066,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2067,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2068,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2069,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2070,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2071,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2072,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2073,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2074,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2075,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2076,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2077,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2078,16.35,16.35,0,1,15.69,0.660000000000002
"CT",2079,16.35,16.35,0,1,15.69,0.660000000000002
